epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1215.34,0.56402,0.73231,0.93268,0.76122,0.72984,0.76036,0.65127,0.57396,0.91015,0.91983,0.000494885,0.000494885,0.000494885
43,1244.31,0.55835,0.70172,0.94311,0.85424,0.72868,0.81638,0.702,0.54235,0.85104,0.90661,0.000486639,0.000486639,0.000486639
44,1273.09,0.54345,0.65535,0.92466,0.73506,0.73157,0.78388,0.67926,0.54422,0.83294,0.91495,0.000478392,0.000478392,0.000478392
45,1301.77,0.55233,0.65624,0.93989,0.8669,0.76995,0.86225,0.76159,0.54186,0.72108,0.90487,0.000470145,0.000470145,0.000470145
46,1330.62,0.54218,0.66191,0.92975,0.77114,0.72589,0.81906,0.72241,0.54195,0.7834,0.90476,0.000461898,0.000461898,0.000461898
47,1359.2,0.53852,0.66231,0.92558,0.77928,0.72607,0.78204,0.68433,0.5307,0.89418,0.90339,0.000453652,0.000453652,0.000453652
48,1387.77,0.52512,0.62843,0.9211,0.7838,0.77148,0.82977,0.72956,0.53285,0.83061,0.88202,0.000445405,0.000445405,0.000445405
49,1416.16,0.53595,0.66698,0.92274,0.74183,0.77112,0.77877,0.68234,0.52893,0.80089,0.88982,0.000437158,0.000437158,0.000437158
50,1444.49,0.53418,0.62118,0.91543,0.81691,0.70592,0.7989,0.71296,0.51681,0.81412,0.88558,0.000428912,0.000428912,0.000428912
51,1472.94,0.52544,0.60732,0.91277,0.89887,0.73763,0.84786,0.74806,0.51897,0.71515,0.89085,0.000420665,0.000420665,0.000420665
52,1501.47,0.50619,0.58069,0.89791,0.87648,0.69981,0.85086,0.74699,0.52255,0.78225,0.88977,0.000412418,0.000412418,0.000412418
53,1529.88,0.51857,0.59935,0.91265,0.85593,0.75801,0.84808,0.74061,0.54329,0.78552,0.90812,0.000404172,0.000404172,0.000404172
54,1558.4,0.50441,0.60277,0.91572,0.82829,0.74019,0.83822,0.76228,0.50902,0.75482,0.89234,0.000395925,0.000395925,0.000395925
55,1586.89,0.49542,0.58523,0.90246,0.91907,0.73108,0.87506,0.77749,0.49837,0.72221,0.87515,0.000387678,0.000387678,0.000387678
56,1615.46,0.50948,0.56847,0.91857,0.79517,0.7522,0.82324,0.74407,0.49047,0.8626,0.87406,0.000379431,0.000379431,0.000379431
57,1644.1,0.48441,0.53888,0.89456,0.87386,0.65922,0.81358,0.72837,0.51892,0.85275,0.89101,0.000371185,0.000371185,0.000371185
58,1672.69,0.50155,0.5862,0.90567,0.84137,0.72867,0.84574,0.76978,0.49867,0.77001,0.88005,0.000362938,0.000362938,0.000362938
59,1701.31,0.49137,0.54064,0.9042,0.87825,0.69533,0.84646,0.76228,0.50395,0.71294,0.88707,0.000354691,0.000354691,0.000354691
60,1729.84,0.47183,0.53937,0.89091,0.81455,0.73064,0.80753,0.72072,0.51485,0.781,0.89044,0.000346445,0.000346445,0.000346445
61,1758.39,0.48862,0.53914,0.89876,0.85827,0.71459,0.81622,0.73492,0.48185,0.75528,0.87448,0.000338198,0.000338198,0.000338198
62,1786.8,0.47414,0.53209,0.89685,0.85496,0.68088,0.82441,0.74395,0.483,0.71348,0.87365,0.000329951,0.000329951,0.000329951
63,1815.22,0.48377,0.5181,0.89815,0.81732,0.74012,0.80956,0.73497,0.48752,0.77066,0.87741,0.000321705,0.000321705,0.000321705
64,1843.62,0.46484,0.53141,0.89073,0.90084,0.73677,0.83377,0.74513,0.48093,0.66343,0.88015,0.000313458,0.000313458,0.000313458
65,1872.09,0.45802,0.50419,0.88579,0.85993,0.74542,0.82768,0.73526,0.49858,0.74193,0.89484,0.000305211,0.000305211,0.000305211
66,1900.77,0.46413,0.49509,0.88765,0.8586,0.76967,0.83908,0.76128,0.49467,0.69584,0.9102,0.000296964,0.000296964,0.000296964
