epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1207.84,0.6617,0.57544,0.97543,0.93547,0.8655,0.92716,0.79114,0.60356,0.55456,0.94907,0.0011882,0.0011882,0.0011882
43,1236.82,0.65368,0.56226,0.97661,0.89035,0.84835,0.9168,0.78642,0.59276,0.58585,0.93622,0.0011684,0.0011684,0.0011684
44,1265.46,0.65175,0.56262,0.96558,0.92823,0.86861,0.92388,0.79412,0.60432,0.58606,0.93396,0.0011486,0.0011486,0.0011486
45,1293.92,0.65753,0.57589,0.97827,0.93462,0.83582,0.91206,0.78141,0.60835,0.57591,0.92856,0.0011288,0.0011288,0.0011288
46,1322.55,0.64678,0.55053,0.97665,0.93685,0.84328,0.90964,0.78037,0.593,0.55454,0.94059,0.001109,0.001109,0.001109
47,1351.09,0.61962,0.53466,0.95857,0.8989,0.86259,0.90259,0.77967,0.57025,0.57467,0.9154,0.0010892,0.0010892,0.0010892
48,1379.63,0.62254,0.5267,0.96554,0.92832,0.8698,0.93688,0.81292,0.58606,0.52929,0.94003,0.0010694,0.0010694,0.0010694
49,1408.24,0.63525,0.54569,0.96831,0.98702,0.83582,0.92866,0.80855,0.56689,0.50762,0.91565,0.0010496,0.0010496,0.0010496
50,1436.85,0.63698,0.52464,0.96808,0.94365,0.8748,0.9252,0.78209,0.60373,0.55232,0.95535,0.0010298,0.0010298,0.0010298
51,1465.34,0.60408,0.52099,0.94889,0.9373,0.85821,0.91496,0.78824,0.5936,0.5418,0.9431,0.00101,0.00101,0.00101
52,1493.96,0.60605,0.51109,0.9421,0.94309,0.86571,0.92204,0.7837,0.59436,0.50351,0.93988,0.0009902,0.0009902,0.0009902
53,1522.51,0.60328,0.51682,0.94663,0.92823,0.86872,0.92942,0.80529,0.56081,0.5038,0.90729,0.0009704,0.0009704,0.0009704
54,1551.18,0.59229,0.51288,0.94852,0.94905,0.83401,0.92002,0.79671,0.57159,0.53941,0.91371,0.0009506,0.0009506,0.0009506
55,1579.91,0.57975,0.49491,0.94339,0.90682,0.88806,0.91309,0.80081,0.55659,0.54943,0.91167,0.0009308,0.0009308,0.0009308
56,1608.57,0.59152,0.51114,0.9614,0.87144,0.8806,0.8976,0.78625,0.56304,0.52225,0.91316,0.000911,0.000911,0.000911
57,1637.21,0.57327,0.48785,0.93517,0.88855,0.87313,0.91202,0.79522,0.55769,0.49915,0.92235,0.0008912,0.0008912,0.0008912
58,1665.71,0.58208,0.4892,0.94173,0.94349,0.82836,0.90738,0.79021,0.58892,0.51126,0.91851,0.0008714,0.0008714,0.0008714
59,1694.05,0.56506,0.4828,0.93822,0.91313,0.86286,0.91655,0.80287,0.54857,0.50877,0.90019,0.0008516,0.0008516,0.0008516
60,1722.24,0.55746,0.46853,0.9232,0.93925,0.86567,0.92495,0.80609,0.57348,0.49907,0.91393,0.0008318,0.0008318,0.0008318
61,1750.55,0.57786,0.4806,0.94122,0.98158,0.86567,0.90724,0.79453,0.5596,0.47324,0.92484,0.000812,0.000812,0.000812
62,1778.99,0.55505,0.46943,0.93163,0.96642,0.85919,0.91891,0.81493,0.53509,0.50277,0.90891,0.0007922,0.0007922,0.0007922
63,1807.57,0.54469,0.45661,0.92471,0.90499,0.88806,0.90312,0.80517,0.51531,0.49995,0.89638,0.0007724,0.0007724,0.0007724
64,1835.98,0.52714,0.45327,0.92163,0.94497,0.86567,0.92454,0.82288,0.51387,0.48532,0.8891,0.0007526,0.0007526,0.0007526
65,1864.53,0.54709,0.45196,0.92066,0.95777,0.85075,0.92665,0.81782,0.53088,0.49376,0.89554,0.0007328,0.0007328,0.0007328
66,1892.99,0.52973,0.44127,0.92249,0.92951,0.88562,0.93014,0.83516,0.51199,0.45269,0.88145,0.000713,0.000713,0.000713
67,1921.57,0.53999,0.46105,0.92325,0.9746,0.85892,0.92329,0.82209,0.50699,0.47957,0.88212,0.0006932,0.0006932,0.0006932
68,1949.96,0.5221,0.43539,0.91505,0.97563,0.85821,0.92913,0.82285,0.53536,0.48058,0.90263,0.0006734,0.0006734,0.0006734
69,1978.11,0.53706,0.43836,0.92277,0.95872,0.86662,0.9268,0.82131,0.53419,0.51024,0.89207,0.0006536,0.0006536,0.0006536
